PRODUCTNO,LOCATION
1031498-00-A,PT-NCM-MO-L19U-01
1035587-01-E,PN-PR-020-1
1024818-00-B,PT-FG-SU-C25L
1012657-01-E,BP3-09100
1021389-01-E,TM1-40000
1032955-00-F,BW2-BAT045
6006772-00-D,BIW-IN
1032963-00-F,BW2-BAT045
1048473-00-A,PN-PL
2005346-02-A,TP1-10067
1012168-00-A,PN-KR-A1-01-1
1035377-00-A,TSUSHO
1014963-05-B,SC1-00800
1003385-02-G,TP1-20030
1048473-00-A,CHANGE-GA
1036691-00-A,PL-IMA-XX
1024945-00-E,SU1-12000
1020893-00-G,SU2-11000
1038793-00-C,PN-TT-L1-01-1
1041534-00-B,AS-REPAIR
1028961-00-D,BIW-IN
1054551-00-A,PN-CO-S1
1046945-00-A,TSUSHO
1037787-00-B,SW3-30300-2
1048870-00-B,JB3-00100
1005650-00-E,PT-SM-DU-01
1033026-04-C,PT-FG-SC2-G20U
1031972-00-A,PN-CO-S1
1004393-00-A,AS-FT-BOS-GA4
1002633-01-N,AS-SF1-010-EB
1037788-00-B,SW3-30300-2
1012650-01-J,BIW-IN
1022945-00-C,BIW-IN
1050777-99-A,JB3-00500
1010555-00-C,ST-BL1
6007874-00-D,ST-3D-LINESIDE
1030582-00-F,PT-FG-HVC-F23U
1006208-11-C,DT1-20100
1012648-01-J,BIW-IN
1007527-00-B,PT-SM-DU-02
1036392-01-B,AS-FL-170-WB
1023414-00-A,PT-SM-MO-01
6008087-10-C,PN-TC-030-1
2007033-02-B,TP1-10180
1003617-00-C,BIW-IN
1020893-00-G,SU3-02000
1054093-00-B,RT3-13000
1054093-00-B,RT3-15040
6009178-00-A,HV2-00405
1050800-00-A,PT-WS-SEQ
1028949-00-A,RT1-10150
1008683-00-B,PT-NCM-MO-L19U-01
1016211-00-J,PT-FG-HVJB-F25U
1028183-00-A,AS-FL-180-E
1023467-01-D,TSUSHO
1007024-00-A,HV2-00200
1047689-00-A,BP3-01000
1047031-00-A,PT-FG-BM-L20U_FLEX
1024238-01-B,AS-CC01-010
1030182-00-D,PT-FG-HVC-F23U
1023190-00-D,JB3-00500
1026856-S0-A,AS-RF1-010-E
1027270-00-A,TSUSHO
1035199-00-F,SI1-00705
1054331-00-A,DM1-34500
1027260-00-A,TSUSHO
1021748-00-C,BM3-01900
1021685-01-B,PT-SM-SC-01
1003993-01-C,TP1-10380
1015897-00-D,CD1-06000
1023170-01-C,AS-CC01-010
1024777-00-B,RT1-20000
1030707-00-A,PN-CO-S1
1043804-00-B,AS-RF1-020-E
1013037-01-F,BW2-BAT080
1015898-00-A,CD1-06000
1028348-E0-A,PN-PR-020-1
2006271,SU1-14000
2007033-02-B,TP1-10300
2007033-02-B,TP1-10500
1009312-00-E,PT-FG-SSU-L19
1024946-00-E,SU2-11000
1041310-00-C,BP3-10700
1023468-01-D,TSUSHO
1022620-00-F,PT-FG-HVC-F23U
1021491-00-A,SC2-00101-B
1014935-00-A,BW-FT-BOS-BIW1
6207023-00-A,AS-OF-SEQ
1018426-00-A,PT-SM-BP-01
1009237-00-E,PL-IMB-XX
1043257-00-A,AS-RF1-020-E
1021491-00-A,SC2-00100
1022945-00-C,BW-AD-S1-01-1
1053124-98-A,PT-FG-FS1-K18-U
6006351-04-A,AS-OF-SEQ
1021154-02-J,AS-T03-SA1-3B
1054093-00-B,RT3-13000-B
1002724-00-B,RT3-15070
1021389-01-E,PT-FG-CH3-H23U
1012215-12-C,PL-IMB-XX
1032183-00-A,SC2-00301
1048473-05-A,AS-PL-110
6010486-00-D,PT-SM-BP-01
1011983-00-A,PN-KR-A1-01-1
1008497-00-A,PT-SM-SC-01
1031542-08-A,AS-FT-BOS-GA1
1019347-00-A,PT-SM-BP-01
1009216-00-A,HV2-00200
1023781-00-A,PT-SM-MO-01
6006352-04-A,AS-OF-SEQ
1048473-00-A,PL-IMB-XX
1050620-02-A,PT-WS-SEQ-S
1028759-01-B,AS-IP2-020-E
1051981-00-A,AS-INS-120-W
1011984-00-A,PN-KR-A1-01-1
1028067-02-A,SH1-00200
1035050-00-E,DM1-33500
1032718-00-A,ST-METAL-REPAIR
1015809-01-C,PT-SM-DU-01
1004429-92-N,AS-T01-140-W
1023190-01-C,JB3-00500
1021849-00-F,SC2-00401
1023190-00-E,PT-SM-EL-01
1053124-20-A,PT-FG-FS1-K18-U
1049424-99-B,AS-SF1-290-W
1037050-00-E,DM1-33500
1008458-00-A,TP1-10200
1010687-01-A,CD1-04500
1023848-02-A,PT-SM-MO-01
1018190-00-C,BIW-IN
1046676-00-A,SV1-20015
1004494-00-C,BW-BSR-060S
6006793-00-G,BW-MLN-020
1039751-00-A,AS-T03-SA1-4
1005823-00-A,SE1-10000
1031977-00-A,PN-CO-S1
1028884-01-E,BIW-IN
6008068-00-E,ST-3A-STACKING
1025116-01-D,DM1-11020-B
