PRODUCTNO,LOCATION
1042812-00-A,PT-SM-DU-01
1038793-00-C,PN-TT-L1-01-1
1024742-00-A,PN-CO-S1
1038793-01-C,PN-PR-020-1
1014252-00-F,BM6-04003
1035587-01-E,PN-PR-020-1
1043652-01-B,PN-PR-020-1
1032955-00-F,BW2-BAT045
1031972-00-A,PN-CO-S1
1043652-00-B,PN-TT-L1-01-1
1012168-00-A,PN-KR-A1-01-1
1047340-01-C,PT-SM-BP-01
1026730-00-C,PL-IMB-XX
1012650-01-J,BIW-IN
1012648-01-J,BIW-IN
1003385-02-G,TP1-20030
1047340-01-C,BP3-09200
1021748-00-C,PT-SM-MO-01
1031971-00-A,PN-CO-S1
1033114-30-E,BP3-13200
1041534-00-B,AS-REPAIR
1054551-00-A,PN-CO-S1
1032963-00-F,BW2-BAT045
1035377-00-A,TSUSHO
1004393-00-A,AS-FT-BOS-GA4
1030707-00-A,PN-CO-S1
1010555-00-C,ST-BL1
1031979-00-B,PN-CO-S1
1009312-20-B,BP3-05100
6007874-00-D,ST-3D-LINESIDE
1032635-00-G,BP3-26100
1030582-00-F,PT-FG-HVC-F23U
1031043-00-E,AS-REPAIR
6008087-10-C,PN-TC-030-1
1007527-00-B,PT-SM-DU-02
2007033-02-B,TP1-10180
1058971-00-A,AS-REPAIR
1028949-00-A,RT1-10150
1022945-00-C,BIW-IN
1019555-CN-B,ST-BL1
1047689-00-A,BP3-01000
1006466-00-H,PT-WH-CART-DZ
1026696-00-E,PT-SM-EL-01
1021389-00-G,PT-FG-CH3-H23U
1028004-00-A,CT1-00500
1050800-00-A,PT-WS-SEQ
1041310-00-C,BP3-10700
1030182-00-D,PT-FG-HVC-F23U
1023190-00-D,JB3-00500
1023170-01-C,AS-CC01-010
1035199-00-F,SI1-00705
1054331-00-A,DM1-34500
1039751-00-A,AS-T03-040-W
1003993-01-C,TP1-10380
1024777-00-B,RT1-20000
1011749-00-B,TM1-70000-B
1037756-00-A,PT-SM-DU-02
1011778-01-C,PT-SM-EL-01
2006271,SU1-14000
2007033-02-B,TP1-10300
2007033-02-B,TP1-10500
2006530,BM6-05000
1009312-00-E,PT-FG-SSU-L19
1024946-00-E,SU2-11000
1012336-01-A,PT-SM-MO-01
1021491-00-A,SC2-00101-B
1022620-00-F,PT-FG-HVC-F23U
1002633-01-N,AS-REPAIR
1011932-00-A,BW-FT-BOS-BIW1
1047340-01-C,BP3-10500
1021748-00-C,BM3-01900
1007767-00-D,ST-3D-LINESIDE
1022945-00-C,BW-AD-S1-01-1
1036143-00-D,BIW-IN
1053124-98-A,PT-FG-FS1-K18-U
1031976-00-A,PN-CO-S1
1002724-00-B,RT3-15070
1006208-11-C,DT1-20100
1043804-00-B,AS-RF1-020-E
1014206-02-A,PT-SM-BP-01
6010486-00-D,PT-SM-BP-01
1011983-00-A,PN-KR-A1-01-1
1026222-00-A,SU3-06000
1010629-00-B,ST-SCHULER-TABLE1
1032719-00-A,ST-SCHULER-STACKING TABLE1
2007123,BW-FT-BOS-BIW2
1019347-00-A,PT-SM-BP-01
1018510-00-B,PT-SM-SC-01
6007699-01-D,AS-C02-130-W
1028759-01-B,AS-IP2-020-E
1011984-00-A,PN-KR-A1-01-1
1047584-01-C,BM3-01750
1028067-02-A,SH1-00200
1004518-01-F,AS-IP2-020-W
1032434-00-A,SU3-03000
1035050-00-E,DM1-33500
1032718-00-A,ST-METAL-REPAIR
1004429-92-N,AS-T01-140-W
1001098-00-A,HP1-00400
1023190-01-C,JB3-00500
1026643-00-D,AS-HRN-SEQ
1021849-00-F,SC2-00401
1026644-02-E,AS-IP1-020-E
6006397-00-D,ST-3A-STACKING
1053124-20-A,PT-FG-FS1-K18-U
1037050-00-E,DM1-33500
1008458-00-A,TP1-10200
1010687-01-A,CD1-04500
1018190-00-C,BIW-IN
1046676-00-A,SV1-20015
6007707-01-D,AS-C02-150-E
6006793-00-G,BW-MLN-020
1004787-11-A,AS-IP2-010-W
1003165-00-A,BW-FT-BOS-BIW1
1055910-00-A,PN-ED-010-1
1013037-01-F,BW2-BAT080
1031977-00-A,PN-CO-S1
6008068-00-E,ST-3A-STACKING
1025116-01-D,DM1-11020-B
1004838-00-B,BW-FT-BOS-BIW1
2006968-00-A,AS-RF1-040-E
1006269-00-L,BM5-02000
1009892-00-A,DT1-10100
1003406-00-B,PT-SM-DU-01
1021036-00-C,SU2-14000
6008066-00-E,ST-3A-STACKING
1016507-00-A,BM3-01900
1017412-00-D,PL-IMB-XX
1025016-00-D,SU2-02000
1026641-92-D,AS-T01-090-E
1007060-00-A,DT1-50300
1028398-00-E,PD1-12000
1046266-00-B,PD1-12000
1014963-00-G,PT-FG-CH3-H23U
1015586-00-B,AS-FL-130-E
6006353-04-A,AS-OF-SEQ
1057450-00-A,PL-IH-SA1
1024946-00-E,SU2-02000
1047472-00-D,BP3-13200
1021296-00-E,BP3-04100
1004706-97-F,PT-FG-DU-G27U
1021844-01-C,PT-SM-SC-01
1048072-00-A,BP3-10700
1053286-00-B,AS-C02-160-E
1009892-01-A,DT1-40100
1034293-00-C,SU3-11000
1023722-E0-A,PN-PR-020-1
6006434-00-C,AS-OF-SEQ
1042863-01-B,BW2-BAT080
1033808-00-A,FS2-06000
1002253-00-C,PL-IMB-XX
1038706-00-A,AS-T03-040-W
1027230-00-A,TSUSHO
1024238-09-B,AS-CC01-010
1027220-00-A,TSUSHO
1036625-00-A,BIW-IN
1024019-00-C,AS-PL-030
1047582-00-B,AS-BK-RT-25
1055910-01-A,PN-PR-020-1
1021844-02-C,SC2-00200
1021634-00-C,PT-WS-SEQ
1048945-99-E,AS-T03-SA2
1024238-03-A,AS-CC01-010
2007129,BW-FT-BOS-BIW2
1020312-00-C,AS-FL-110-E
6006572-00-D,ST-3A-STACKING
1032238-00-B,PT-FG-BM-L20U_FLEX
1003798-00-A,PT-SM-DU-01
1012648-01-J,BW-BAT-010
1032901-01-B,SU3-06000
1003617-00-C,BIW-IN
1014185-00-F,PN-TT-L1-01-1
1035637-00-B,AS-RF1-020-E
1030706-00-A,PN-CO-S1
1026912-00-A,BW-FT-BOS-BIW3
1023467-00-C,TSUSHO
1024237-01-A,AS-CC01-010
1049446-00-A,AS-FL-030-W
2007021,BW-FT-BOS-BIW3
1042448-00-C,HP1-01000
1023847-02-A,BM5-01200
1014963-00-G,CH3-03150
6207024-00-A,AS-OF-SEQ
1014963-05-B,CH3-03150
1019028-22-E,PT-SM-SC-01
1005559-00-A,PT-SM-DU-01
1030307-00-B,JB5-00100
1010633-00-B,ST-4D-TABLE1
1019347-00-A,BP3-22200
1029357-00-C,PT-SM-EL-01
1011778-01-C,CD1-03000
1002252-00-E,PL-IMB-XX
1013659-00-C,PT-RPK-CART
1008841-00-C,AS-T01-010-W
1048072-00-C,BP3-10700
6006353-07-A,AS-OF-SEQ
1056647-00-A,FA1-02000
6006485-00-D,ST-3D-LINESIDE
1032434-00-A,SU3-06000
1011636-00-A,HV2-10000
1023381-00-D,AS-FL-200-E
1011749-00-B,TM1-70000
1003991-00-B,PT-SM-DU-02
1048072-00-B,BP3-15700
1024018-00-C,AS-PL-030
1017452-02-A,DM1-11020
1047623-00-C,BP3-12200
2000674,PT-SM-MO-01
1038450-00-A,BP3-16200
1042876-00-C,BP3-10700
1019028-20-D,PT-SM-SC-01
1031914-00-A,SU1-12000
1016271-00-B,AS-KT1-060-E
1015454-00-A,PT-SM-MO-01
1031042-20-C,BP3-13200
1024017-00-C,AS-PL-050
1055837-00-B,BP3-09200
1003589-00-B,AS-DP1-030-E
1042766-88-C,PL-IH-SA1B
1019188-01-C,BM3-01900
1002633-00-K,PT-FG-DU-J19U
1002633-00-N,PT-FG-DT1-G27U
1023847-02-A,BM3-00600
1038187-00-B,AS-C02-110-W
1024081-00-E,PT-SM-SC-01
1002477-00-J,PT-WS-SEQ-S
1021748-00-B,PT-SM-MO-01
1024016-00-C,AS-PL-050
1002633-00-M,AS-REPAIR
1043441-00-A,AS-RF1-020-E
1008389-01-A,HV2-00200
1058195-00-A,PL-IMB-XX
1058202-00-A,PL-IMB-XX
1047907-00-B,AS-FL-040-W
1004424-02-M,AS-D01-050-W
1038741-00-D,BP3-04200
1030826-00-A,PN-TC-030-1
1051439-00-A,PT-SM-MO-01
1048135-00-A,BP3-10700
6009185-00-A,TP1-20010
1028970-00-A,AS-FL-190-WZ
1038739-00-D,BP3-04100
1031490-00-A,SH1-00200
1017046-00-A,SH1-00300
1039747-00-A,BP3-15700
1028130-00-B,SU3-11000
6007206-00-E,ST-SCHULER-STACKING TABLE1
1014879-00-D,AS-FL-030-W
1021848-00-D,SC2-00300
1030658-00-B,AS-T03-SA1-2
1045230-00-A,SH1-00200
1003751-01-C,SC2-00301
1008718-04-B,PL-IH-SA2
1035666-00-B,AS-FL-SA1
1019136-00-A,PT-SM-DU-01
1002516-00-D,PL-IMB-XX
