PRODUCTNO,LOCATION
1035587-01-E,PN-PR-020-1
1038793-01-C,PN-PR-020-1
1043652-01-B,PN-PR-020-1
1009312-20-B,PT-FG-BM-L20U
1024818-00-B,PT-FG-SU-C25L
1021389-01-E,TM1-40000
1032955-00-F,BW2-BAT045
1009312-20-B,BP3-05100
1032963-00-F,BW2-BAT045
2005346-02-A,TP1-10067
1012168-00-A,PN-KR-A1-01-1
1024200-02-F,PT-FG-BP4-UJ5
1003385-02-G,TP1-20030
1048473-00-A,CHANGE-GA
1036691-00-A,PL-IMA-XX
1036812-00-A,SU5-11000
1016880-00-A,FA1-00300
1038793-00-C,PN-TT-L1-01-1
1041534-00-B,AS-REPAIR
1028961-00-D,BIW-IN
1046945-00-A,TSUSHO
1037787-00-B,SW3-30300-2
1003389-02-H,DT1-80200
1005650-00-E,PT-SM-DU-01
1004393-00-A,AS-FT-BOS-GA4
1012650-01-J,BIW-IN
1022945-00-C,BIW-IN
6009635-00-C,TP1-50100
1050777-99-A,JB3-00500
1010555-00-C,ST-BL1
1030582-00-F,PT-FG-HVC-F23U
1006208-11-C,DT1-20100
1012648-01-J,BIW-IN
1023414-00-A,PT-SM-MO-01
6008087-10-C,PN-TC-030-1
2007033-02-B,TP1-10180
1003617-00-C,BIW-IN
1020893-00-G,SU3-02000
1054093-00-B,RT3-13000
1054093-00-B,RT3-15040
1028183-00-A,AS-FL-180-E
1023467-01-D,TSUSHO
1007024-00-A,HV2-00200
1047689-00-A,BP3-01000
1028004-00-A,CT1-00500
1014152-00-E,PT-SM-BP-01
1030182-00-D,PT-FG-HVC-F23U
1002687-00-A,RT1-85000
1023190-00-D,JB3-00500
1026856-S0-A,AS-RF1-010-E
1027270-00-A,TSUSHO
1035199-00-F,SI1-00705
1027260-00-A,TSUSHO
1002633-00-N,PT-FG-DU-J19U
1003993-01-C,TP1-10380
1031758-00-A,BM6-11000
1024777-00-B,RT1-20000
1043049-00-D,SW3-60000
1013037-01-F,BW2-BAT080
1055910-01-A,PN-PR-020-1
2006271,SU1-14000
2007033-02-B,TP1-10300
2007033-02-B,TP1-10500
1009312-00-E,PT-FG-SSU-L19
1024946-00-E,SU2-11000
1041310-00-C,BP3-10700
1003383-02-J,TP1-50030
1023468-01-D,TSUSHO
1022620-00-F,PT-FG-HVC-F23U
1047340-02-C,BP3-10500
1002633-01-N,AS-REPAIR
1014935-00-A,BW-FT-BOS-BIW1
6009640-00-C,TP1-50100
1031757-00-A,BM6-11000
1011932-00-A,BW-FT-BOS-BIW1
6207023-00-A,AS-OF-SEQ
1009237-00-E,PL-IMB-XX
1022945-00-C,BW-AD-S1-01-1
1006466-00-F,BP3-35200
1053124-98-A,PT-FG-FS1-K18-U
6006351-04-A,AS-OF-SEQ
1054093-00-B,RT3-13000-B
1002724-00-B,RT3-15070
1021389-01-E,PT-FG-CH3-H23U
1011779-01-E,BIW-IN
1048135-00-A,BP3-10700
1048473-05-A,AS-PL-110
6010486-00-D,PT-SM-BP-01
1011983-00-A,PN-KR-A1-01-1
1031542-08-A,AS-FT-BOS-GA1
6207024-00-A,AS-OF-SEQ
1019347-00-A,PT-SM-BP-01
1009216-00-A,HV2-00200
6007699-01-D,AS-C02-130-W
